cost_multiplier,per_side_bps,baseline_sharpe,baseline_ann_return,overlaid_sharpe,overlaid_ann_return
0.0,0.0,0.1989786125424515,0.0191490961861156,0.05357103387844233,-0.007786316591532949
0.5,9.5,0.1247506303896924,0.0014554008020191134,-0.08251085972425243,-0.03293045626961022
1.0,19.0,0.05054526821544017,-0.015938072924819635,-0.21848156759913434,-0.05744942560888433
2.0,38.0,-0.09769910160028294,-0.04984419867259415,-0.48959042429073013,-0.10467248960964193
4.0,76.0,-0.39284078864183763,-0.1142676105294601,-1.0250782851393028,-0.19226360884663385
