variant,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,psr_vs_zero,deflated_sharpe,n_obs,sharpe_ci_low,sharpe_ci_high,excess_ann_return,information_ratio,avg_leverage,ann_turnover
baseline,-0.003902491385695317,0.234931229783587,0.10072911902003559,0.12820055864238333,-0.6030423702499238,-0.006471338629287318,0.5975037113698116,0.11273263664360539,2192,-0.6589767155674245,0.8438465938682995,-0.6856443370380072,-1.0793716531546753,0.5635740434087839,18.7248344580514
baseline +conformal,0.002646295439291846,0.22059467421472106,0.12211458836387959,0.15565614266518293,-0.5791067946964814,0.004569615593405028,0.6176913043561909,0.12310764742446884,2192,-0.6579903759267688,0.8728312607523117,-0.6837579568870815,-1.0797208232180882,0.5217191873607556,20.7058415418853
LTR,-0.14079121399229744,0.24846246774292144,-0.48168766961185583,-0.5016496050005023,-0.7049562792105053,-0.19971623509754724,0.10893296309071976,0.003559383093028756,2192,-1.1931515529482157,0.26982136377525706,-0.7447251377985308,-1.1834990763478699,1.1418839033402233,80.15147716263452
LTR +conformal,-0.14115903252336748,0.2336395366302885,-0.5301335174732119,-0.5511963624386905,-0.705237402744259,-0.20015817648650172,0.08633115252626761,0.002380958024062352,2192,-1.206758175261269,0.22129531811048125,-0.744166886986162,-1.1978059609745844,1.0737552477368122,81.3065076008824
regime,-0.06646485083603704,0.15035165895978503,-0.38186378721270825,-0.341238454236237,-0.5071498375656498,-0.13105564847476317,0.17276638845350617,0.008146087806110952,2192,-1.0855689297917812,0.3986023165029026,-0.7105671259422179,-1.1823475978185567,0.6442923788077106,23.238835292773118
regime +conformal,-0.06245674771947496,0.1293316250391162,-0.4337894791215037,-0.4018784921921633,-0.44892682108336385,-0.13912456281572225,0.14258729123751673,0.005739291828591917,2192,-1.1431220615944646,0.3713439341679876,-0.7089483931371969,-1.1887714817740254,0.5815757673307081,26.315681425563014
lead-lag,-0.10381941969538666,0.23127734817610893,-0.3570106047552189,-0.4257178406721591,-0.5925085658735177,-0.17522011608782193,0.18852839096524282,0.009581461743068466,2192,-1.1991702550941974,0.43746804360538794,-0.7220941890936893,-1.1791115596871466,1.1733128290328103,79.8893359237414
lead-lag +conformal,-0.10973985189484303,0.21786798088085257,-0.4232103831759343,-0.4961243769354652,-0.5916279216818862,-0.1854879526018201,0.14653814370899115,0.006029534259926001,2192,-1.2639037329047753,0.3705294534729673,-0.7236995203162343,-1.1982090273456683,1.098720331718751,81.2362019878851
[bench] equal_weight,0.7893920940784782,0.7545660842015551,1.1457475779472597,1.6069229276150074,-0.7844242052952612,1.0063331660977328,0.9977653294359434,0.9977653294359434,2192,0.3949240092357519,1.9454674167583617,,,1.0,
[bench] btc_hold,0.37244650126066636,0.5738214932722274,0.8384283352959427,1.1968058092103173,-0.7663456370856907,0.4860032904695984,0.9801727745035679,0.9801727745035679,2192,0.04312327509330639,1.649601636434375,,,1.0,
